1	-50.	0.92	0.95	0.78	0.84	0.43	0.49
1	-35.	0.93	0.94	0.8	0.84	0.47	0.5
1	0.	0.93	0.94	0.82	0.84	0.48	0.53
1	35.	0.93	0.94	0.8	0.84	0.47	0.5
1	50.	0.92	0.95	0.78	0.84	0.43	0.49
2	-50.	0.86	0.9	0.67	0.7	0.33	0.34
2	-35.	0.88	0.93	0.7	0.77	0.36	0.44
2	-15.	0.88	0.92	0.67	0.76	0.32	0.41
2	0.	0.86	0.91	0.67	0.74	0.33	0.38
2	15.	0.88	0.92	0.67	0.76	0.32	0.41
2	35.	0.88	0.93	0.7	0.77	0.36	0.44
2	50.	0.86	0.9	0.67	0.7	0.33	0.34
3	-50.	0.85	0.92	0.57	0.78	0.22	0.41
3	-46.	0.83	0.92	0.56	0.79	0.21	0.46
3	-29.	0.83	0.92	0.59	0.79	0.23	0.43
3	-5.	0.81	0.91	0.61	0.8	0.23	0.46
3	0.	0.81	0.9	0.6	0.78	0.22	0.44
3	5.	0.81	0.91	0.61	0.8	0.23	0.46
3	29.	0.83	0.92	0.59	0.79	0.23	0.43
3	46.	0.83	0.92	0.56	0.79	0.21	0.46
3	50.	0.85	0.92	0.57	0.78	0.22	0.41
4	-50.	0.89	0.88	0.75	0.69	0.49	0.32
4	-40.	0.9	0.88	0.76	0.71	0.5	0.34
4	-30.	0.91	0.88	0.78	0.73	0.51	0.35
4	-20.	0.92	0.9	0.83	0.77	0.58	0.41
4	-10.	0.91	0.89	0.81	0.77	0.57	0.44
4	0.	0.92	0.9	0.82	0.77	0.58	0.43
4	10.	0.91	0.89	0.81	0.77	0.57	0.44
4	20.	0.92	0.9	0.83	0.77	0.58	0.41
4	30.	0.91	0.88	0.78	0.73	0.51	0.35
4	40.	0.9	0.88	0.76	0.71	0.5	0.34
4	50.	0.89	0.88	0.75	0.69	0.49	0.32
